2026-03-23 16:24:28 | week=3 sw=c level=9   | phase2_stamina_injuries      |    1.68s | 
2026-03-23 16:24:44 | week=3 sw=c level=3   | phase2_stat_accum            |   15.70s | 149 results
2026-03-23 16:24:49 | week=3 sw=c level=3   | phase2_position_usage        |    4.62s | 
2026-03-23 16:25:01 | week=3 sw=c level=3   | phase2_stamina_injuries      |   12.43s | 
2026-03-23 16:25:01 | week=3 sw=c level=    | global_stamina_recovery      |    0.18s | 
2026-03-23 16:25:02 | week=3 sw=d level=9   | load_subweek_state           |    0.45s | 156 players
2026-03-23 16:25:02 | week=3 sw=d level=9   | build_payloads               |    0.00s | 3 games
2026-03-23 16:25:06 | week=3 sw=d level=9   | engine_call                  |    4.60s | 3 games
2026-03-23 16:25:08 | week=3 sw=d level=9   | phase1_store_results         |    1.53s | 3 results
2026-03-23 16:25:10 | week=3 sw=d level=9   | phase2_stat_accum            |    1.20s | 3 results
2026-03-23 16:25:10 | week=3 sw=d level=9   | phase2_position_usage        |    0.24s | 
2026-03-23 16:25:11 | week=3 sw=d level=9   | phase2_stamina_injuries      |    0.64s | 
2026-03-23 16:25:11 | week=3 sw=d level=    | global_stamina_recovery      |    0.17s | 
2026-03-23 16:25:11 | week=3 sw=  level=    | build_week_payloads          |  175.54s | all levels
2026-03-23 16:25:14 | week=3 sw=  level=    | weekly_tick_injuries         |    0.48s | 
2026-03-23 16:25:24 | week=3 sw=  level=    | weekly_books                 |   10.29s | 
2026-03-23 16:25:24 | week=3 sw=  level=    | weekly_waivers               |    0.25s | 
2026-03-23 16:25:24 | week=3 sw=  level=    | weekly_fa_auction            |    0.24s | 
2026-03-23 16:25:42 | week=3 sw=  level=    | weekly_listed_positions      |   18.02s | 
2026-03-23 16:25:42 | week=3 sw=  level=    | weekly_processing_total      |   29.29s | 
2026-03-23 16:25:49 | week=4 sw=  level=    | load_week_cache              |    5.52s | 339 teams
2026-03-23 16:25:50 | week=4 sw=a level=9   | load_subweek_state           |    0.96s | 780 players
2026-03-23 16:25:50 | week=4 sw=a level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:25:50 | week=4 sw=a level=3   | load_subweek_state           |    1.33s | 8539 players
2026-03-23 16:25:51 | week=4 sw=a level=3   | build_payloads               |    0.33s | 149 games
2026-03-23 16:25:56 | week=4 sw=a level=9   | engine_call                  |    5.68s | 15 games
2026-03-23 16:26:02 | week=4 sw=a level=9   | phase1_store_results         |    6.26s | 15 results
2026-03-23 16:26:12 | week=4 sw=a level=3   | engine_call                  |   21.33s | 149 games
2026-03-23 16:26:20 | week=4 sw=a level=3   | phase1_store_results         |    7.43s | 149 results
2026-03-23 16:26:24 | week=4 sw=a level=9   | phase2_stat_accum            |    4.09s | 15 results
2026-03-23 16:26:25 | week=4 sw=a level=9   | phase2_position_usage        |    0.57s | 
2026-03-23 16:26:26 | week=4 sw=a level=9   | phase2_stamina_injuries      |    1.58s | 
2026-03-23 16:26:42 | week=4 sw=a level=3   | phase2_stat_accum            |   15.72s | 149 results
2026-03-23 16:26:47 | week=4 sw=a level=3   | phase2_position_usage        |    4.64s | 
2026-03-23 16:27:02 | week=4 sw=a level=3   | phase2_stamina_injuries      |   15.33s | 
2026-03-23 16:27:02 | week=4 sw=a level=    | global_stamina_recovery      |    0.16s | 
2026-03-23 16:27:03 | week=4 sw=b level=9   | load_subweek_state           |    0.53s | 780 players
2026-03-23 16:27:03 | week=4 sw=b level=9   | build_payloads               |    0.01s | 15 games
2026-03-23 16:27:09 | week=4 sw=b level=9   | engine_call                  |    5.65s | 15 games
2026-03-23 16:27:15 | week=4 sw=b level=9   | phase1_store_results         |    6.26s | 15 results
2026-03-23 16:27:19 | week=4 sw=b level=9   | phase2_stat_accum            |    2.20s | 15 results
2026-03-23 16:27:20 | week=4 sw=b level=9   | phase2_position_usage        |    0.54s | 
2026-03-23 16:27:21 | week=4 sw=b level=9   | phase2_stamina_injuries      |    1.46s | 
2026-03-23 16:27:21 | week=4 sw=b level=    | global_stamina_recovery      |    0.18s | 
2026-03-23 16:27:22 | week=4 sw=c level=9   | load_subweek_state           |    0.66s | 780 players
2026-03-23 16:27:22 | week=4 sw=c level=9   | build_payloads               |    0.02s | 15 games
2026-03-23 16:27:23 | week=4 sw=c level=3   | load_subweek_state           |    1.54s | 8426 players
2026-03-23 16:27:24 | week=4 sw=c level=3   | build_payloads               |    0.39s | 147 games
2026-03-23 16:27:28 | week=4 sw=c level=9   | engine_call                  |    5.50s | 15 games
2026-03-23 16:27:35 | week=4 sw=c level=9   | phase1_store_results         |    6.53s | 15 results
2026-03-23 16:27:44 | week=4 sw=c level=3   | engine_call                  |   20.75s | 147 games
2026-03-23 16:27:52 | week=4 sw=c level=3   | phase1_store_results         |    7.51s | 147 results
2026-03-23 16:27:58 | week=4 sw=c level=9   | phase2_stat_accum            |    5.09s | 15 results
2026-03-23 16:27:58 | week=4 sw=c level=9   | phase2_position_usage        |    0.56s | 
2026-03-23 16:27:59 | week=4 sw=c level=9   | phase2_stamina_injuries      |    1.19s | 
2026-03-23 16:28:15 | week=4 sw=c level=3   | phase2_stat_accum            |   15.63s | 147 results
2026-03-23 16:28:20 | week=4 sw=c level=3   | phase2_position_usage        |    4.59s | 
2026-03-23 16:28:32 | week=4 sw=c level=3   | phase2_stamina_injuries      |   12.18s | 
2026-03-23 16:28:32 | week=4 sw=c level=    | global_stamina_recovery      |    0.18s | 
2026-03-23 16:28:33 | week=4 sw=d level=9   | load_subweek_state           |    0.46s | 208 players
2026-03-23 16:28:33 | week=4 sw=d level=9   | build_payloads               |    0.00s | 4 games
2026-03-23 16:28:37 | week=4 sw=d level=9   | engine_call                  |    4.59s | 4 games
2026-03-23 16:28:39 | week=4 sw=d level=9   | phase1_store_results         |    1.80s | 4 results
2026-03-23 16:28:41 | week=4 sw=d level=9   | phase2_stat_accum            |    1.23s | 4 results
2026-03-23 16:28:42 | week=4 sw=d level=9   | phase2_position_usage        |    0.24s | 
2026-03-23 16:28:42 | week=4 sw=d level=9   | phase2_stamina_injuries      |    0.83s | 
2026-03-23 16:28:43 | week=4 sw=d level=    | global_stamina_recovery      |    0.19s | 
2026-03-23 16:28:43 | week=4 sw=  level=    | build_week_payloads          |  179.89s | all levels
2026-03-23 16:28:45 | week=4 sw=  level=    | weekly_tick_injuries         |    0.47s | 
2026-03-23 16:28:55 | week=4 sw=  level=    | weekly_books                 |   10.46s | 
2026-03-23 16:28:56 | week=4 sw=  level=    | weekly_waivers               |    0.24s | 
2026-03-23 16:28:56 | week=4 sw=  level=    | weekly_fa_auction            |    0.24s | 
2026-03-23 16:29:14 | week=4 sw=  level=    | weekly_listed_positions      |   17.91s | 
2026-03-23 16:29:14 | week=4 sw=  level=    | weekly_processing_total      |   29.33s | 
2026-03-23 16:29:18 | week=5 sw=  level=    | load_week_cache              |    3.42s | 338 teams
2026-03-23 16:29:19 | week=5 sw=a level=9   | load_subweek_state           |    0.92s | 780 players
